A11	A12	A13	A14	A15	A16	A17	A18	A19	A2	A20	A21	A22	A23	A4	A5	A6	A7	A8	D1	D10	D11	D12	D13	D16	D17	D18	D19	D2	D20	D21	D23	D3	D4	D5	D6	D7	D8	D9	F1	F10	F12	F13	F14	F15	F16	F17	F18	F19	F2	F20	F21	F22	F3	F4	F5	F6	F7	F9	K1	K10	K11	K12	K13	K14	K15	K16	K17	K18	K19	K2	K20	K21	K22	K24	K3	K4	K5	K6	K7	K8	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P3	P5	P8	P9
te_5	0	0	1.71446120671878	1.87937199207208	0.555286112580621	1.6982718959731	0	3.59415661280362	1.16077128098534	0	0	0	0	0.981887320371881	1.15876472738585	1.96699667971761	0	1.99422950832984	2.03795412247148	0.996261682713257	2.02561781442551	0	2.41480674721484	0	0	2.40684753351151	0	2.43990459935371	1.53903915394662	1.04736529824929	3.17552488618946	3.26959867977802	0	2.27060644507685	2.85404214768427	0	0.771849682849992	0.788109856064916	0	0.973963363227263	3.09702439096747	0.55295108974985	1.24859070715114	1.25815795934439	0	2.18922083912484	0	0	0	0	0	0.923614172341758	0	0	0	0.639544447747485	0	0.764549918879838	0	0	3.23253887908707	1.95575869528071	0	1.20061933602336	0.698928015538436	0.798242416689258	1.08352266562688	1.88947426284066	1.8378325206993	0	1.77772354737234	0	0.503846336154431	3.99728749982242	0	0	3.556546023621	1.30038762924469	2.86805452402427	1.13953500136738	3.74832552977911	0	0	3.08377236909925	1.8094856822423	0.48217737435555	0	0	2.17165921541819	0	0	0.340911329250628	0	0	0
te_6	1.62286178988149	1.35820635925446	0	0	2.55220809563834	0	0	1.97608134301748	1.4235420286753	0	0.916045055866282	0	0	0.788808768443087	0	0	0	0	0	0	0	0	1.73160539487035	2.17633038596725	0	0	0	0	0	0	0.717665553493209	1.28725355941066	1.71745424929438	0	1.95520334778908	0	1.27197242950464	0.788109856064916	0	2.08341201244679	0	0.772056607978415	1.76899350184306	0	3.05186590359544	0	1.43486813388666	1.46274057475864	0.439783513488235	1.0983832462822	0	0	0.591591560011593	0	0	2.52145683567738	0	0	0	0	0	0	0	0	0.672305213470941	0.670101615558839	1.62722455788514	0	0.958032768751263	0	0	0	0	2.37043144950894	0	1.11931451350779	0	1.60792476077922	0	1.26240520793035	0	0	1.06230324823523	0	0	0	0	0.457856402152728	0	2.19158702667052	0	2.8623354244433	0	0	0.417136852244994
te_11	0.236674049535001	0	0	0	0.555286112580621	0	0	1.30282499860021	0	0.803680232485858	1.4085652914273	0	0	1.96738607601834	0	0	0	0	0.778892166805484	0	0	0	3.18957167796641	0	0	0	0	0	0.779507446631401	0	0.970571689604135	0	0.349454244086205	0	1.28620274178897	0	0.771849682849992	0	0.329237254557128	0	0	0	0.150673217846974	0	0	0	0	0	0	0	0.929068583722063	0	0	0	0	0	0	1.26163903506925	0	0	0	0	0.302619101386572	0	0	1.30915440999286	0	0.471373565868176	2.38428794522078	0.2396623983108	0	0	0.212317257531721	0	0	0.182390893529407	0	0	0	0	0	0	2.21024624264834	0	0	0	0	0	0	0.467635178987797	0	0	0.5724171358322	0	0
te_14	2.94209103125277	2.90982311410467	0	0	0	0.327051461853847	0	0.233954067774975	0	0	0	0	1.27095739243318	0	0.455527047840342	0	0	0	2.02786003413788	0.801080987999396	1.1857014927725	0	3.59624872753467	1.46467450110734	3.26631795156219	0	2.51262498992487	2.28168061291626	1.76267171261865	0	0.872405793553093	0	0.21964514950873	0	2.14080527280357	0	2.30673264050047	0	0.555789772533085	0	0	2.57383911869334	1.02294939934502	0	0	0	1.8272286234309	0.731416708619788	0	0.440004074559751	1.54400976333539	2.81223022439193	0	1.99698956299032	0	0	0	0	3.36312351280288	0	0.358763359440211	0	0.753960587946145	1.56335162194855	0	0	0.804166086198191	2.13769163697697	0	0.2396623983108	2.65834926631457	0	1.05728114011692	4.1542240601841	0	0.344289722717836	0	2.03098065878212	2.95435582711245	1.51632190748905	1.74939000446474	0	1.08221417860781	3.08377236909925	0.650174051812011	2.42367305441202	2.5902377564705	0	1.06329413915782	3.67192272050814	0	1.97530752291896	0	0.463058561835935	0
te_102	0	0	3.54202556375509	0	4.28494934652622	0	3.43847731563806	3.49439069816177	0	3.51572196758895	3.83165861646618	0	0	2.77002109185441	0	0	0	1.99422950832984	1.9498155021764	0	2.02561781442551	0	0	0	0	0	3.04279907113924	0	3.7967851416977	1.27639901128579	3.26207000219714	0	1.90334130461009	1.72437655621533	3.80215971525189	0	0	0	2.39848250948833	1.95542308264757	1.23227935285126	0	1.24859070715114	0	2.40784056715017	0	0	0	0	0	0	0	1.34260340999875	0	0	0	0	0	0	0	1.6403649740567	0	0	0	0	3.50407857000444	0.999871950949198	4.2889922130642	0	0	3.71635829568239	0	3.03680341387421	2.47252298392838	0	0	0	2.42997782584496	3.08762444304508	0	2.80326041069745	0	0	0	0	0	0	0	0	0	1.88305107569196	0	0	1.32989536814634	0
te_197	0	0.366886880393948	0	0	0.649884388659151	0.535081520687286	0	0.526203573974411	1.3154958519804	0	0	0	0.907809220744582	0	1.77432091576352	0.643605767355074	0	0.200631953938573	0	0.199727289607991	0	0	0	0	0	0	0.366963197887985	0.413095727002889	0.363583653641005	0	0	0	0.787690053651119	0	1.54283964273949	1.32228317849326	0.698274152557418	0	0.192088211993501	1.00533081979554	0	0.481622749815404	0.20335167978645	3.11361017199592	0	0.944595842809008	0.862126635541812	0	0.624549361571879	1.55579082634037	0.622676594686588	0	1.78982808645636	0	0.427070394465523	0.188349385339122	0	0	2.02509966455483	0.194335787694602	0	0.517910402922317	0.185591588936768	3.57896521684517	0	1.02472662380346	0	2.04346524674269	0.989042872273859	1.23595523464891	0.203893909645216	3.59682095996738	0.518436849984747	0	0	0	0	1.74015941028602	1.03571771980588	0.491285162320774	1.31906315756277	1.02175627520256	1.57912862664137	0	0	0	0	0.563723751868763	0	0	0	0	0.914930278094724	0	0
te_207	2.13329725432335	1.88478323930286	2.13493970534848	1.1146533300652	0.155501195886052	1.35423584688668	1.49962191997948	1.24148449997431	1.10194349893958	1.93288223366136	0	1.08311482647406	1.97282434527464	0.416534727507687	1.51420729952125	0.998524905317887	0	0.944896033150226	1.15781856649925	2.84632635294006	0	0	0	0.792576330548489	0.364455678367085	2.42622760895796	0	0.776365897034998	1.86837681269029	1.69290365784802	0.754876203173363	0	1.76476543744553	1.18592133702595	2.28832986120306	0.936599265356825	1.04347489060616	1.62231113485109	1.02831277122279	2.86573628553091	2.85750809424537	0	3.18450581628138	0	0.628099090733402	0	1.15482534627196	0.228566108510435	1.96124335896407	0.967692358909053	2.5436383927725	0.828946220696811	0.531533484718644	0.805635441614878	2.0358017238514	0.223238604131675	1.65760779272944	2.1725439741306	1.14552602870498	1.2709074880171	0.310313724010766	2.56643278758823	1.66406181837994	1.14046728067828	2.4070060871191	0	1.14322401278392	0	2.24992067619806	0.680223319442233	0.71155864633082	0.900441827254112	1.31300292671611	0	0	0	0.82293119151017	3.54591137687929	3.16928606894318	1.03507145797233	1.88404013875915	0.807941860512687	1.11157462696993	0	1.15323376128972	0	0.953115766212637	2.4547008000423	0.608956283935431	0	1.26185716045199	1.62546309398771	1.58836485756787	0.723299139462533	2.9976772247462
te_208	0.699512624055779	1.07063326545879	0.165677657575635	0	0.155501195886052	0.854588770214955	0	1.14906779345405	0	0.921937374519612	0.522908248692875	0	1.32891785926531	0.249977189873971	0.699335363948038	0	0	0.675189544377231	0	2.76987000910478	0	0	0	0.792576330548489	0	1.73278886076243	0	0	1.86837681269029	0	0	0	1.09587450625885	1.18592133702595	0	0.936599265356825	0.930204148231933	0	0.868697320500492	1.88409271371798	2.67751168336125	0	0	0	0	0	0.829305649096479	0.228566108510435	1.59662816166192	0	0.833988895757208	0.416461165115	0	0.805635441614878	1.02396625877812	0	1.48805391522352	0	0.520885027799292	1.13542796848619	0.310313724010766	0	0.38075505100887	0.392716832209402	0.575055015975105	0	0.933788763044575	0	0	0.680223319442233	0.71155864633082	0	1.31300292671611	0	0	0	0.82293119151017	1.96763767725488	0	1.03507145797233	1.25724453451888	2.8355553623728	0.2315823726087	0	0	0	0	0	0	0	1.26185716045199	1.62546309398771	1.39951795853198	0	0
te_226	0	0	0.586868418148046	0.739664236639096	1.09631914739939	0.676898072470774	0.207456046115772	0	0	0	0	1.01020846558414	0	0	0.375208443911128	0	0	0	0	0.801080987999396	0	0	0	0	1.28509384826519	0.314806421979915	2.09031069771126	0	0	0	2.18195881787262	0	0	0.334753921024143	0.919979795703081	1.24134952766384	0.277672085722282	0	0	2.99115190884876	0	0	0	3.17047527361375	0	0.913222549737098	0	0	0	0	0	0	1.68345535690639	0	0.303646807389968	0.489986721538399	0	0	0	0.21240371344066	0.817443880891678	0	0	0	0	1.73776501517071	0	1.39969516232004	0	0	0	1.26230290827561	0	0	0	0	0	0	0	0	0	0	0	2.15140896011438	0	0.607713649017153	0	0	0	0	0	0	0	0	0
te_285	0	0	0	0	0	0	3.06712920522046	0.679439268172322	0	0	0	0.457193368796026	0	0	0	0	0	0	0	0	0	0	0	0	0	0.780050035790565	0	0	0	1.04736529824929	1.9502923183719	0	0.93972546919799	0.965303470477349	0	0	1.27197242950464	0	0	1.81496436278954	0	0	2.48088199197625	1.86024525201455	0	0	0	1.72724099366738	0	0	0	0	0	3.14618479467743	0	0	0	0	0	0	0	0	2.91091556230286	0	0	0	0.45740317513372	0	0	0	0	1.09782150462011	0	0	0	0	0	0	0	0	0.805309118955617	0	2.60372947634502	0	1.47469158660216	0	0.801486775644109	0	1.72139674009512	0	0	0	1.84102470037347	0	0
